127.0.0.1 - - [07/Sep/2023:09:35:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:39:12 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=123 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:40:12 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:40:13 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:40:13 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:40:36 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:58:01 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11556
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:58:01 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11556
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:58:10 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=123 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:58:22 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11556
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:58:30 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=123 HTTP/1.1" 200 6473
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:59:20 +0900] "GET /Student/Shopping?command=boList&mode=subject&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 11678
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:31 +0900] "GET /Student/Shopping?command=boList&mode=subject&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 11897
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:34 +0900] "GET /Student/Shopping?command=meLogin HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:35 +0900] "POST /Student/Shopping HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:37 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 12262
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:40 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:42 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:45 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:46 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:49 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:08:51 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:09:00 +0900] "GET /Student/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:09:40 +0900] "GET /Student/Shopping?command=boList&mode=subject&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 12385
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:09:51 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 12262
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:09:58 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 11931
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/la.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/sonata1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/la1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/vanilla_latte_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:22 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:11:25 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 12262
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:12:07 +0900] "GET /Student/Shopping?command=prInsert HTTP/1.1" 200 11056
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:12:08 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 11931
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:12:09 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:12:09 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:09 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13566
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:09 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:09 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:35 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:35 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:14:35 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:16:59 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13599
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:16:59 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:16:59 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:20:38 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 11977
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:20:38 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:20:38 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:16 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:23:25 +0900] "GET /Student/Shopping?command=boList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:29 +0900] "GET /Student/Shopping?command=boList&mode=company&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:37 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:27:44 +0900] "GET /Student/Shopping?command=boList&mode=company&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:30:00 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:30:00 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:30:00 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:30:05 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:19 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:19 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:19 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:24 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EC%A0%9C%EB%AA%A9 HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:31 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=123 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:59 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=brea HTTP/1.1" 200 10250
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:59 +0900] "GET /Student/upload/french_baguette_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:59 +0900] "GET /Student/upload/ciabatta_01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:59 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:31:59 +0900] "GET /Student/upload/croissant_01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:23 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=brea HTTP/1.1" 200 10253
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:23 +0900] "GET /Student/upload/ciabatta_01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:23 +0900] "GET /Student/upload/croissant_01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:23 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:26 +0900] "GET /Student/Shopping?command=prList&mode=price&keyword=1 HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:26 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:26 +0900] "GET /Student/upload/ciabatta_01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:26 +0900] "GET /Student/upload/croissant_01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:30 +0900] "GET /Student/Shopping?command=prList&mode=price&keyword=3134 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:34 +0900] "GET /Student/Shopping?command=prList&mode=price&keyword=123 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:38 +0900] "GET /Student/Shopping?command=prList&mode=price&keyword=1 HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:38 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:38 +0900] "GET /Student/upload/croissant_01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:33:38 +0900] "GET /Student/upload/ciabatta_01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:23 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:27 +0900] "GET /Student/Shopping?command=boList&mode=subject&keyword=1 HTTP/1.1" 200 10624
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:36 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=8 HTTP/1.1" 200 11304
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:38 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:39 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:39 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:39 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:40 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:40 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:40 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=-- HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:41 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=99 HTTP/1.1" 200 11317
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:43 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=8 HTTP/1.1" 200 11304
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:44 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=8 HTTP/1.1" 200 11304
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:46 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=8 HTTP/1.1" 200 11304
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:56 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=%EA%B4%80 HTTP/1.1" 200 6208
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:34:58 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80 HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:00 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80 HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:01 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80 HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:36 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC HTTP/1.1" 200 11369
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:38 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:44 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:45 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:45 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:46 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:46 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:47 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:47 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:47 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:48 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:48 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:48 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:49 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:50 +0900] "GET /Student/Shopping?command=boList&pageNumber=29&pageSize=10&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 10594
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:35:56 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:36:37 +0900] "GET /Student/Shopping?command=boList&mode=id&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:36:38 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:36:38 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:36:40 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 6704
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:36:51 +0900] "POST /Student/Shopping HTTP/1.1" 200 11302
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:00 +0900] "GET /Student/Shopping?command=boInsert HTTP/1.1" 200 6704
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:10 +0900] "GET /Student/Shopping?command=boDetail&no=293 HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:15 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12415
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:15 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:15 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:18 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12415
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:18 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:18 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:24 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=be HTTP/1.1" 200 10154
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:24 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:37:24 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=be HTTP/1.1" 200 10558
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=be HTTP/1.1" 200 10558
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:36 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:40 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 9725
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:40 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:40 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:42:40 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:01 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:01 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:01 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:01 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
